question,paper,metric,coordinate,ours,paper_value,absolute_difference,difference_class,note
Q1,P05-史鸿宇等,depth_m,200.0,64.76,64.76,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,400.0,59.53,59.53,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,400.0,59.53,59.53,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,400.0,59.53,59.53,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,400.0,59.53,59.53,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,400.0,59.53,59.53,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,600.0,54.29,54.29,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,600.0,54.29,54.29,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,600.0,54.29,54.29,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,600.0,54.29,54.29,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,600.0,54.29,54.29,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,depth_m,800.0,49.05,49.05,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,depth_m,800.0,49.05,49.05,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,depth_m,800.0,49.05,49.05,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,depth_m,800.0,49.05,49.05,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,depth_m,800.0,49.05,49.05,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,-800.0,315.81,315.81,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,-800.0,315.81,315.81,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,-800.0,315.81,315.81,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,-800.0,315.81,315.81,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,-800.0,315.81,315.81,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,-600.0,297.63,297.63,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,-600.0,297.63,297.63,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,-600.0,297.63,297.63,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,-600.0,297.63,297.63,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,-600.0,297.63,297.63,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,-400.0,279.44,279.44,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,-400.0,279.44,279.44,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,-400.0,279.44,279.44,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,-400.0,279.44,279.44,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,-400.0,279.44,279.44,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,-200.0,261.26,261.26,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,-200.0,261.26,261.26,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,-200.0,261.26,261.26,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,-200.0,261.26,261.26,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,-200.0,261.26,261.26,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,0.0,243.07,243.07,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,0.0,243.07,243.07,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,0.0,243.07,243.07,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,0.0,243.07,243.07,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,0.0,243.07,243.07,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,200.0,224.88,224.88,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,200.0,224.88,224.88,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,200.0,224.88,224.88,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,200.0,224.88,224.88,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,200.0,224.88,224.88,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,400.0,206.7,206.7,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,400.0,206.7,206.7,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,400.0,206.7,206.7,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,400.0,206.7,206.7,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,400.0,206.7,206.7,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,600.0,188.51,188.51,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,600.0,188.51,188.51,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,600.0,188.51,188.51,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,600.0,188.51,188.51,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,600.0,188.51,188.51,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,coverage_width_m,800.0,170.33,170.33,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P02-B311,coverage_width_m,800.0,170.33,170.33,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P03-B226,coverage_width_m,800.0,170.33,170.33,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P04-张泽宇等,coverage_width_m,800.0,170.33,170.33,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P05-史鸿宇等,coverage_width_m,800.0,170.33,170.33,0.0,rounding-consistent,All five papers agree with the same displayed depth/width values.
Q1,P01-B477,overlap_rate_pct,-600.0,33.64,35.7,2.0600000000000023,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P01-B477,overlap_rate_pct,-400.0,29.59,31.5,1.9100000000000001,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P01-B477,overlap_rate_pct,-200.0,25.0,26.7,1.6999999999999993,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P01-B477,overlap_rate_pct,0.0,19.78,21.3,1.5199999999999996,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P01-B477,overlap_rate_pct,200.0,13.78,14.9,1.120000000000001,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P01-B477,overlap_rate_pct,400.0,6.81,7.4,0.5900000000000007,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P01-B477,overlap_rate_pct,600.0,-1.39,-1.5,0.1100000000000001,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P01-B477,overlap_rate_pct,800.0,-11.17,-12.4,1.2300000000000004,denominator/statistical-convention,current-strip denominator; displayed as proportions in a row mislabeled percent
Q1,P02-B311,overlap_rate_pct,-600.0,33.64,34.71,1.0700000000000003,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P02-B311,overlap_rate_pct,-400.0,29.59,30.59,1.0,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P02-B311,overlap_rate_pct,-200.0,25.0,25.91,0.9100000000000001,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P02-B311,overlap_rate_pct,0.0,19.78,20.56,0.7799999999999976,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P02-B311,overlap_rate_pct,200.0,13.78,14.37,0.5899999999999999,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P02-B311,overlap_rate_pct,400.0,6.81,7.14,0.33000000000000007,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P02-B311,overlap_rate_pct,600.0,-1.39,-1.42,0.030000000000000027,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P02-B311,overlap_rate_pct,800.0,-11.17,-11.73,0.5600000000000005,denominator/statistical-convention,sum of the facing half-swaths AC+EF
Q1,P03-B226,overlap_rate_pct,-600.0,33.64,35.7,2.0600000000000023,denominator/statistical-convention,current-strip denominator
Q1,P03-B226,overlap_rate_pct,-400.0,29.59,31.51,1.9200000000000017,denominator/statistical-convention,current-strip denominator
Q1,P03-B226,overlap_rate_pct,-200.0,25.0,26.74,1.7399999999999984,denominator/statistical-convention,current-strip denominator
Q1,P03-B226,overlap_rate_pct,0.0,19.78,21.26,1.4800000000000004,denominator/statistical-convention,current-strip denominator
Q1,P03-B226,overlap_rate_pct,200.0,13.78,14.89,1.1100000000000012,denominator/statistical-convention,current-strip denominator
Q1,P03-B226,overlap_rate_pct,400.0,6.81,7.41,0.6000000000000005,denominator/statistical-convention,current-strip denominator
Q1,P03-B226,overlap_rate_pct,600.0,-1.39,-1.53,0.14000000000000012,denominator/statistical-convention,current-strip denominator
Q1,P03-B226,overlap_rate_pct,800.0,-11.17,-12.36,1.1899999999999995,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,-600.0,33.64,35.6954,2.055399999999999,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,-400.0,29.59,31.5106,1.9206000000000003,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,-200.0,25.0,26.7431,1.7430999999999983,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,0.0,19.78,21.2622,1.4821999999999989,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,200.0,13.78,14.8949,1.1149000000000004,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,400.0,6.81,7.4072,0.5972,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,600.0,-1.39,-1.5252,0.1352,denominator/statistical-convention,current-strip denominator
Q1,P04-张泽宇等,overlap_rate_pct,800.0,-11.17,-12.365,1.1950000000000003,denominator/statistical-convention,current-strip denominator
Q1,P05-史鸿宇等,overlap_rate_pct,-600.0,33.64,29.59,4.050000000000001,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q1,P05-史鸿宇等,overlap_rate_pct,-400.0,29.59,25.0,4.59,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q1,P05-史鸿宇等,overlap_rate_pct,-200.0,25.0,19.78,5.219999999999999,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q1,P05-史鸿宇等,overlap_rate_pct,0.0,19.78,13.78,6.000000000000002,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q1,P05-史鸿宇等,overlap_rate_pct,200.0,13.78,6.81,6.97,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q1,P05-史鸿宇等,overlap_rate_pct,400.0,6.81,-1.39,8.2,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q1,P05-史鸿宇等,overlap_rate_pct,600.0,-1.39,-11.17,9.78,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q1,P05-史鸿宇等,overlap_rate_pct,800.0,-11.17,-23.04,11.87,paper-table-alignment-suspect,table is shifted/misaligned relative to its own geometry and prose
Q2,P01-B477,coverage_width_m,beta=0;distance=0.0,415.69,415.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=0;distance=0.3,466.09,466.09,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=0;distance=0.6,516.49,516.49,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=0;distance=0.9,566.89,566.89,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=0;distance=1.2,617.29,617.29,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=0;distance=1.5,667.69,667.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=0;distance=1.8,718.09,718.09,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=0;distance=2.1,768.48,768.48,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=0.0,416.19,416.19,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=0.3,451.87,451.87,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=0.6,487.55,487.55,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=0.9,523.23,523.23,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=1.2,558.91,558.91,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=1.5,594.59,594.59,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=1.8,630.27,630.27,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=45;distance=2.1,665.95,665.95,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=0.0,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=0.3,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=0.6,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=0.9,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=1.2,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=1.5,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=1.8,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=90;distance=2.1,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=0.0,416.19,416.19,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=0.3,380.51,380.51,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=0.6,344.83,344.83,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=0.9,309.15,309.15,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=1.2,273.47,273.47,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=1.5,237.79,237.79,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=1.8,202.11,202.11,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=135;distance=2.1,166.43,116.43,50.0,paper-table-error-suspect,P01 has two isolated 50 m table entries; P05 uses alpha*sin(beta) instead of atan(tan(alpha)*sin(beta)).
Q2,P01-B477,coverage_width_m,beta=180;distance=0.0,415.69,415.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=180;distance=0.3,365.29,365.29,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=180;distance=0.6,314.89,314.89,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=180;distance=0.9,264.5,264.5,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=180;distance=1.2,214.1,214.1,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=180;distance=1.5,163.7,163.7,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=180;distance=1.8,113.3,113.3,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=180;distance=2.1,62.9,62.9,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=0.0,416.19,416.19,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=0.3,380.51,380.51,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=0.6,344.83,344.83,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=0.9,309.15,309.15,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=1.2,273.47,273.47,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=1.5,237.79,237.79,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=1.8,202.11,202.11,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=225;distance=2.1,166.43,116.43,50.0,paper-table-error-suspect,P01 has two isolated 50 m table entries; P05 uses alpha*sin(beta) instead of atan(tan(alpha)*sin(beta)).
Q2,P01-B477,coverage_width_m,beta=270;distance=0.0,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=270;distance=0.3,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=270;distance=0.6,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=270;distance=0.9,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=270;distance=1.2,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=270;distance=1.5,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=270;distance=1.8,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=270;distance=2.1,416.69,416.69,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=0.0,416.19,416.19,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=0.3,451.87,451.87,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=0.6,487.55,487.55,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=0.9,523.23,523.23,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=1.2,558.91,558.91,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=1.5,594.59,594.59,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=1.8,630.27,630.27,0.0,exact/rounding,
Q2,P01-B477,coverage_width_m,beta=315;distance=2.1,665.95,665.95,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=0.0,415.69,415.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=0.3,466.09,466.09,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=0.6,516.49,516.49,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=0.9,566.89,566.89,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=1.2,617.29,617.29,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=1.5,667.69,667.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=1.8,718.09,718.09,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=0;distance=2.1,768.48,768.48,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=0.0,416.19,416.19,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=0.3,451.87,451.87,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=0.6,487.55,487.55,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=0.9,523.23,523.23,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=1.2,558.91,558.91,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=1.5,594.59,594.59,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=1.8,630.27,630.27,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=45;distance=2.1,665.95,665.95,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=0.0,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=0.3,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=0.6,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=0.9,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=1.2,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=1.5,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=1.8,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=90;distance=2.1,416.69,416.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=0.0,416.19,416.19,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=0.3,380.51,380.51,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=0.6,344.83,344.83,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=0.9,309.15,309.15,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=1.2,273.47,273.47,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=1.5,237.79,237.79,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=1.8,202.11,202.11,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=135;distance=2.1,166.43,166.43,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=0.0,415.69,415.69,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=0.3,365.29,365.29,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=0.6,314.89,314.89,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=0.9,264.5,264.5,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=1.2,214.1,214.1,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=1.5,163.7,163.7,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=1.8,113.3,113.3,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=180;distance=2.1,62.9,62.9,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=225;distance=0.0,416.19,416.19,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=225;distance=0.3,380.51,380.51,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=225;distance=0.6,344.83,344.83,0.0,exact/rounding,
Q2,P02-B311,coverage_width_m,beta=225;distance=0.9,309.15,309.15,0.0,exact/rounding,
