final_order,line_id,block,axis,direction,direction_deg_from_east_ccw,start_x_m,start_y_m,end_x_m,end_y_m,length_inside_m,representative_depth_m,representative_slope_deg
30,BSV-L030,BSV,vertical,south-to-north,90.0,2143.466376294935,0.0,2143.466376294935,4630.0,4630.0,26.295275100382227,0.42073887393629045
31,BSV-L031,BSV,vertical,south-to-north,90.0,2230.8970776767,0.0,2230.8970776767,4630.0,4630.0,26.96267380979013,0.468178314302721
32,BSV-L032,BSV,vertical,south-to-north,90.0,2321.1307684544718,0.0,2321.1307684544718,4630.0,4630.0,27.704638014664113,0.49700372258105163
33,BSV-L033,BSV,vertical,south-to-north,90.0,2414.3376788742726,0.0,2414.3376788742726,4630.0,4630.0,28.51684694431028,0.5315745034157526
34,BSV-L034,BSV,vertical,south-to-north,90.0,2510.883135136327,0.0,2510.883135136327,4630.0,4630.0,29.418831766983736,0.5621977783137234
35,BSV-L035,BSV,vertical,south-to-north,90.0,2610.9874604511015,0.0,2610.9874604511015,4630.0,4630.0,30.409133306402886,0.5842312751441274
36,BSV-L036,BSV,vertical,south-to-north,90.0,2715.0086727733087,0.0,2715.0086727733087,4630.0,4630.0,31.506244937181155,0.6285294561371173
37,BSV-L037,BSV,vertical,south-to-north,90.0,2823.2905206978166,0.0,2823.2905206978166,4630.0,4630.0,32.71966715163532,0.6587896142091109
38,BSV-L038,BSV,vertical,south-to-north,90.0,2936.1879270367644,0.0,2936.1879270367644,4630.0,4630.0,34.05318322898833,0.7042950040696877
39,BSV-L039,BSV,vertical,south-to-north,90.0,3054.101824486367,0.0,3054.101824486367,4630.0,4630.0,35.53299340587085,0.7426134306118612
40,BSV-L040,BSV,vertical,south-to-north,90.0,3177.452339762901,0.0,3177.452339762901,4630.0,4630.0,37.17109696490996,0.7811241849652574
41,BSV-L041,BSV,vertical,south-to-north,90.0,3306.6705776187064,0.0,3306.6705776187064,4630.0,4630.0,38.98603561085335,0.82752455519625
42,BSV-L042,BSV,vertical,south-to-north,90.0,3442.268434081073,0.0,3442.268434081073,4630.0,4630.0,40.997935288482736,0.8673116305865806
43,BSV-L043,BSV,vertical,south-to-north,90.0,3584.6238570435,0.0,3584.6238570435,4630.0,4630.0,43.23237567334996,0.921652775002788
44,BSV-L044,BSV,vertical,south-to-north,90.0,3734.2846554108673,0.0,3734.2846554108673,4630.0,4630.0,45.71101267904406,0.9695642724242857
45,BSV-L045,BSV,vertical,south-to-north,90.0,3891.739305817169,0.0,3891.739305817169,4630.0,4630.0,48.470932367643194,1.0419239562135536
46,BSV-L046,BSV,vertical,south-to-north,90.0,4057.441555752446,0.0,4057.441555752446,4630.0,4630.0,51.53451104283781,1.0915845387505836
47,BSV-L047,BSV,vertical,south-to-north,90.0,4231.808252181994,0.0,4231.808252181994,4630.0,4630.0,54.93976529737245,1.1570983135423154
48,BSV-L048,BSV,vertical,south-to-north,90.0,4415.1759614971215,0.0,4415.1759614971215,4630.0,4630.0,58.713169805149185,1.2382634291251315
49,BSV-L049,BSV,vertical,south-to-north,90.0,4607.823050513833,0.0,4607.823050513833,4630.0,4630.0,62.90604796635831,1.2979861004668574
50,BSV-L050,BSV,vertical,south-to-north,90.0,4809.882152284976,0.0,4809.882152284976,4630.0,4630.0,67.5400937496741,1.3772240381000558
51,BSV-L051,BSV,vertical,south-to-north,90.0,5022.102790223727,0.0,5022.102790223727,4630.0,4630.0,72.67698382713141,1.4689694463545289
52,BSV-L052,BSV,vertical,south-to-north,90.0,5245.65358539495,0.0,5245.65358539495,4630.0,4630.0,78.37767758728674,1.5491121522746114
53,BSV-L053,BSV,vertical,south-to-north,90.0,5481.746762738767,0.0,5481.746762738767,4630.0,4630.0,84.73025281263088,1.6324307613766462
54,BSV-L054,BSV,vertical,south-to-north,90.0,5731.954806143036,0.0,5731.954806143036,4630.0,4630.0,91.83543171259393,1.746317969936742
55,BSV-L055,BSV,vertical,south-to-north,90.0,5997.846602096848,0.0,5997.846602096848,4630.0,4630.0,99.79895049650126,1.8581593473349693
56,BSV-L056,BSV,vertical,south-to-north,90.0,6281.426852127277,0.0,6281.426852127277,4630.0,4630.0,108.76487464398942,1.986669793865652
57,BSV-L057,BSV,vertical,south-to-north,90.0,6584.970873528968,0.0,6584.970873528968,4630.0,4630.0,118.90168885027387,2.101896125260094
58,BSV-L058,BSV,vertical,south-to-north,90.0,6911.143411875377,0.0,6911.143411875377,4630.0,4630.0,130.42016662832086,2.251371657209756
59,BSV-L059,BSV,vertical,south-to-north,90.0,7262.917906344195,0.0,7262.917906344195,4630.0,4630.0,143.56341297355502,2.4218564487394927
60,BNH-L001,BNH,horizontal,west-to-east,0.0,0.0,4686.811266488259,7408.0,4686.811266488259,7408.0,47.374053779119635,0.6016655624833519
61,BNH-L002,BNH,horizontal,west-to-east,0.0,0.0,4800.88912525979,7408.0,4800.88912525979,7408.0,47.743636474923726,0.5926446521903125
62,BNH-L003,BNH,horizontal,west-to-east,0.0,0.0,4917.794920343886,7408.0,4917.794920343886,7408.0,48.15007936405791,0.5808601734937298
63,BNH-L004,BNH,horizontal,west-to-east,0.0,0.0,5037.674171004284,7408.0,5037.674171004284,7408.0,48.590885095588554,0.5687556644095153
64,BNH-L005,BNH,horizontal,west-to-east,0.0,0.0,5160.74573396177,7408.0,5160.74573396177,7408.0,49.06934827468321,0.5607063476548322
65,BNH-L006,BNH,horizontal,west-to-east,0.0,0.0,5287.1706887413075,7408.0,5287.1706887413075,7408.0,49.58875027534042,0.5396151107300327
66,BNH-L007,BNH,horizontal,west-to-east,0.0,0.0,5417.131232086696,7408.0,5417.131232086696,7408.0,50.16013491182158,0.5224981824740311
67,BNH-L008,BNH,horizontal,west-to-east,0.0,0.0,5550.849262445772,7408.0,5550.849262445772,7408.0,50.77636000582562,0.5199707970518548
68,BNH-L009,BNH,horizontal,west-to-east,0.0,0.0,5688.546027222019,7408.0,5688.546027222019,7408.0,51.444122162526014,0.5073813977254853
69,BNH-L010,BNH,horizontal,west-to-east,0.0,0.0,5830.460484036639,7408.0,5830.460484036639,7408.0,52.17196805635334,0.500190991035147
70,BNH-L011,BNH,horizontal,west-to-east,0.0,0.0,5976.852480903701,7408.0,5976.852480903701,7408.0,52.96604268330931,0.4932889648488958
71,BNH-L012,BNH,horizontal,west-to-east,0.0,0.0,6128.016423535941,7408.0,6128.016423535941,7408.0,53.823073675554745,0.4767160152725186
72,BNH-L013,BNH,horizontal,west-to-east,0.0,0.0,6284.252270079072,7408.0,6284.252270079072,7408.0,54.75547244647397,0.47408234925298265
73,BNH-L014,BNH,horizontal,west-to-east,0.0,0.0,6445.867280688484,7408.0,6445.867280688484,7408.0,55.765878708564685,0.4734908198550319
74,BNH-L015,BNH,horizontal,west-to-east,0.0,0.0,6613.223998548485,7408.0,6613.223998548485,7408.0,56.86569113491147,0.47165682354252964
75,BNH-L016,BNH,horizontal,west-to-east,0.0,0.0,6786.758411197874,7408.0,6786.758411197874,7408.0,58.05923290797644,0.47038862781730045
76,BNH-L017,BNH,horizontal,west-to-east,0.0,0.0,6966.834923279212,7408.0,6966.834923279212,7408.0,59.36416385759685,0.47044922860981003
77,BNH-L018,BNH,horizontal,west-to-east,0.0,0.0,7153.963430425152,7408.0,7153.963430425152,7408.0,60.771052776006854,0.4854666231122978
78,BNH-L019,BNH,horizontal,west-to-east,0.0,0.0,7348.608954286909,7408.0,7348.608954286909,7408.0,62.31897101204301,0.4921801106079765
79,BNH-L020,BNH,horizontal,west-to-east,0.0,0.0,7551.361565909996,7408.0,7551.361565909996,7408.0,63.99854484587469,0.5102166445236067
80,BNH-L021,BNH,horizontal,west-to-east,0.0,0.0,7762.787135813249,7408.0,7762.787135813249,7408.0,65.83090050805541,0.5188192068391716
81,BNH-L022,BNH,horizontal,west-to-east,0.0,0.0,7983.590867969191,7408.0,7983.590867969191,7408.0,67.83350148783815,0.5286349163954946
82,BNH-L023,BNH,horizontal,west-to-east,0.0,0.0,8214.503098366578,7408.0,8214.503098366578,7408.0,70.02858302948079,0.55717577668457
83,BNH-L024,BNH,horizontal,west-to-east,0.0,0.0,8456.05171941749,7408.0,8456.05171941749,7408.0,72.42919914104945,0.572670501812281
84,BNH-L025,BNH,horizontal,west-to-east,0.0,0.0,8691.848899701952,7408.0,8691.848899701952,7408.0,74.87784748606269,0.605906101236176
85,BNH-L026,BNH,horizontal,west-to-east,0.0,0.0,8922.367483350667,7408.0,8922.367483350667,7408.0,77.37270702412994,0.6409419329159566
86,BNH-L027,BNH,horizontal,west-to-east,0.0,0.0,9148.054594562203,7408.0,9148.054594562203,7408.0,79.91041780944242,0.6765329529221218
