case,sample_size_each_rate,observed_defects_p1,observed_defects_p2,observed_defects_p_final,policy,posterior_mean_cost,posterior_mean_cost_mc_se,posterior_cost_q025,posterior_cost_q975,probability_ex_post_optimal,bayes_selected
3,100,10,10,10,1101,40.97562879032213,0.012617604721006509,37.92668922089744,44.92238496151341,0.47025,0
3,100,10,10,10,1110,43.76115231428825,0.012543325987005534,40.75755984586768,47.70332386780599,0.0,0
3,100,10,10,10,1111,40.809722665994016,0.007074143499985281,39.0763534749402,42.996342769760474,0.51215,1
4,100,20,20,20,0000,85.4151427160826,0.07141047749355403,67.85578388205485,107.55792820673449,0.0,0
4,100,20,20,20,0001,inf,inf,inf,inf,0.0,0
4,100,20,20,20,0010,59.69748761176687,0.03693645387597622,50.61506062864907,71.15065252072475,0.0,0
4,100,20,20,20,0011,inf,inf,inf,inf,0.0,0
4,100,20,20,20,0100,71.0724232390825,0.05275703273712069,58.196906077198044,87.67911023934106,0.0,0
4,100,20,20,20,0101,inf,inf,inf,inf,0.0,0
4,100,20,20,20,0110,56.78761314627472,0.031686246772267744,49.02000105017815,66.65152549474021,0.0,0
4,100,20,20,20,0111,inf,inf,inf,inf,0.0,0
4,100,20,20,20,1000,65.36694306003827,0.04842708740390893,53.55845002797055,80.39746158612334,0.0,0
4,100,20,20,20,1001,inf,inf,inf,inf,0.0,0
4,100,20,20,20,1010,51.076459168195804,0.0260970539149867,44.71185853307034,59.150442276848295,0.0,0
4,100,20,20,20,1011,inf,inf,inf,inf,0.0,0
4,100,20,20,20,1100,53.22291621817291,0.03189012707421299,45.54969998404955,63.198549044409106,0.0,0
4,100,20,20,20,1101,46.74242527774143,0.020501104704089404,41.694255999000916,53.059495601982235,0.0,0
4,100,20,20,20,1110,48.020182615400806,0.020492131501320125,42.99323302655929,54.33596095273349,0.0,0
4,100,20,20,20,1111,41.53969167496932,0.010597057495872279,38.87480924674946,44.73099530218536,1.0,1
5,100,10,20,10,0000,49.67930440474149,0.029797422751584812,42.52691299666854,58.84784942176052,0.0,0
5,100,10,20,10,0001,inf,inf,inf,inf,0.0,0
5,100,10,20,10,0010,47.11524031953275,0.023524281119672218,41.46861552368569,54.353565332968834,5e-05,0
5,100,10,20,10,0011,inf,inf,inf,inf,0.0,0
5,100,10,20,10,0100,44.81696813006821,0.021772244965436616,39.55064286987994,51.679951681427106,0.5442,1
5,100,10,20,10,0101,inf,inf,inf,inf,0.0,0
5,100,10,20,10,0110,44.82604175898922,0.018849160299106476,40.27416847966852,50.718206275238096,0.2334,0
5,100,10,20,10,0111,inf,inf,inf,inf,0.0,0
5,100,10,20,10,1000,56.626693588411,0.029274932676530096,49.578918876417035,65.59343866996878,0.0,0
5,100,10,20,10,1001,inf,inf,inf,inf,0.0,0
5,100,10,20,10,1010,55.384200068270324,0.02447395610677007,49.500762964366444,62.899730497065434,0.0,0
5,100,10,20,10,1011,inf,inf,inf,inf,0.0,0
5,100,10,20,10,1100,49.56742782310094,0.01771590203795698,45.29954040011551,55.10932431128006,0.0,0
5,100,10,20,10,1101,45.77194484407495,0.010824894472828438,43.09655401896084,49.05552303607939,0.219,0
5,100,10,20,10,1110,50.627369745026776,0.01600206530463948,46.76299160657462,55.56844449343231,0.0,0
5,100,10,20,10,1111,46.83188676600078,0.009874394184646817,44.41301977974981,49.865273604887896,0.00335,0
6,100,5,5,5,0000,35.046221997631264,0.01336858577647603,31.896879974875652,39.23718332630833,0.62145,1
6,100,5,5,5,0001,inf,inf,inf,inf,0.0,0
6,100,5,5,5,0010,36.74823373490971,0.010905951554493603,34.17903366371435,40.16717587146206,0.0,0
6,100,5,5,5,0011,inf,inf,inf,inf,0.0,0
6,100,5,5,5,0100,37.296572241520984,0.01225080568763547,34.44578174118007,41.16879205315244,0.0006,0
6,100,5,5,5,0101,inf,inf,inf,inf,0.0,0
6,100,5,5,5,0110,39.45565963284627,0.010482493753236797,36.998522764686825,42.764402590495756,0.0,0
6,100,5,5,5,0111,inf,inf,inf,inf,0.0,0
6,100,5,5,5,1000,35.191289859581154,0.010948467795282624,32.659556049997654,38.685623076918084,0.3765,0
6,100,5,5,5,1001,inf,inf,inf,inf,0.0,0
6,100,5,5,5,1010,37.351551640735906,0.009075912628554032,35.25356199699903,40.24305492309653,0.0,0
6,100,5,5,5,1011,inf,inf,inf,inf,0.0,0
6,100,5,5,5,1100,37.17232645194823,0.009038486185072215,35.130978018660585,40.0967263510213,0.00145,0
6,100,5,5,5,1101,37.83820211837133,0.010823846464595083,35.43020498018935,41.36923252478928,0.0,0
6,100,5,5,5,1110,39.7644322697083,0.00794195039490407,37.94837126512501,42.30918784940779,0.0,0
6,100,5,5,5,1111,40.43030793613139,0.009659906008447131,38.25642479954495,43.56236463144178,0.0,0
